account_number,bad_flag
100311,0.60625
100312,0.71091
100313,0.10431
100314,0.33421
100315,0.03979
100316,0.07872
100317,0.0133
100318,0.56272
100319,0.57375
100320,0.47691
100321,0.43788
100322,0.42092
100323,0.29468
100324,0.43501
100325,0.6258
100326,0.65862
100327,0.05656
100328,0.61239
100329,0.37431
100330,0.6235
100331,0.75078
100332,0.10388
100333,0.39772
100334,0.65917
100335,0.36643
100336,0.93363
100337,0.81507
100338,0.81782
100339,0.18692
100340,0.68968
100341,0.1268
100342,0.45041
100343,0.88841
100344,0.49317
100345,0.49204
100346,0.30114
100347,0.72801
100348,0.58514
100349,0.02745
100350,0.55962
100351,0.50608
100352,0.90342
100353,0.36047
100354,0.34623
100355,0.44071
100356,0.71344
100357,0.37636
100358,0.44384
100359,0.69725
100360,0.6514
100361,0.5579
100362,0.0183
100363,0.5217
100364,0.51594
100365,0.26536
100366,0.75279
100367,0.42225
100368,0.25268
100369,0.11981
100370,0.14683
100371,0.50046
100372,0.54698
100373,0.55697
100374,0.66283
100375,0.83425
100376,0.37954
100377,0.7492
100378,0.76239
100379,0.54827
100380,0.64793
100381,0.74343
100382,0.69769
100383,0.69399
100384,0.69482
100385,0.61573
100386,0.47653
100387,0.65046
100388,0.58772
100389,0.1423
100390,0.75481
100391,0.72093
100392,0.76308
100393,0.65164
100394,0.67304
100395,0.28292
100396,0.74065
100397,0.77277
100398,0.11796
100399,0.92058
100400,0.19658
100401,0.06086
100402,0.24588
100403,0.27282
100404,0.47939
100405,0.49707
100406,0.72301
100407,0.53953
100408,0.73137
100409,0.46451
100410,0.5549
100411,0.71805
100412,0.03139
100413,0.39234
100414,0.00621
100415,0.00582
100416,0.35692
100417,0.71447
100418,0.36289
100419,0.58217
100420,0.8312
100421,0.06345
100422,0.13682
100423,0.0122
100424,0.74914
100425,0.5655
100426,0.61578
100427,0.59546
100428,0.35808
100429,0.70293
100430,0.60477
100431,0.70705
100432,0.262
100433,0.64716
100434,0.79006
100435,0.79566
100436,0.72081
100437,0.76767
100438,0.73554
100439,0.78563
100440,0.76082
100441,0.79496
100442,0.43864
100443,0.67379
100444,0.0292
100445,0.53995
100446,0.17976
100447,0.74842
100448,0.22531
100449,0.65768
100450,0.05124
100451,0.33778
100452,0.75659
100453,0.80289
100454,0.08325
100455,0.59774
100456,0.34331
100457,0.17026
100458,0.03161
100459,0.42017
100460,0.15258
100461,0.62636
100462,0.18518
100463,0.78551
100464,0.86642
100465,0.07423
100466,0.77211
100467,0.53634
100468,0.79635
100469,0.10602
100470,0.79226
100471,0.75381
100472,0.82757
100473,0.00746
100474,0.66886
100475,0.61756
100476,0.60101
100477,0.65807
100478,0.00697
100479,0.35892
100480,0.65363
100481,0.38372
100482,0.5745
100483,0.70744
100484,0.74785
100485,0.67629
100486,0.9306
100487,0.1256
100488,0.71233
100489,0.67199
100490,0.73679
100491,0.69497
100492,0.31718
100493,0.06107
100494,0.18962
100495,0.06502
100496,0.5193
100497,0.50734
100498,0.65363
100499,0.30963
100500,0.37792
100501,0.78336
100502,0.76073
100503,0.74583
100504,0.67989
100505,0.44804
100506,0.51036
100507,0.79561
100508,0.50843
100509,0.03157
100510,0.90527
100511,0.83324
100512,0.70397
100513,0.76272
100514,0.6095
100515,0.0288
100516,0.2555
100517,0.55361
100518,0.48527
100519,0.01965
100520,0.59712
100521,0.23981
100522,0.81672
100523,0.49968
100524,0.61283
100525,0.68903
100526,0.74944
100527,0.74246
100528,0.50541
100529,0.56857
100530,0.24366
100531,0.50977
100532,0.69572
100533,0.77145
100534,0.4282
100535,0.74485
100536,0.6222
100537,0.08413
100538,0.72099
100539,0.46161
100540,0.551
100541,0.1817
100542,0.75867
100543,0.79766
100544,0.19735
100545,0.49964
100546,0.65418
100547,0.63277
100548,0.7017
100549,0.75276
100550,0.65247
100551,0.46484
100552,0.82159
100553,0.48883
100554,0.13298
100555,0.443
100556,0.537
100557,0.80164
100558,0.58313
100559,0.5776
100560,0.68867
100561,0.91607
100562,0.52385
100563,0.54951
100564,0.81416
100565,0.78462
100566,0.88052
100567,0.77717
100568,0.66477
100569,0.636
100570,0.72575
100571,0.52895
100572,0.4744
100573,0.85495
100574,0.24029
100575,0.71908
100576,0.65691
100577,0.57728
100578,0.85642
100579,0.50135
100580,0.57712
100581,0.44609
100582,0.60668
100583,0.70782
100584,0.7452
100585,0.40973
100586,0.5726
100587,0.86764
100588,0.96795
100589,0.3605
100590,0.72482
100591,0.36869
100592,0.63389
100593,0.71305
100594,0.49589
100595,0.80184
100596,0.55139
100597,0.76664
100598,0.79114
100599,0.74308
100600,0.66523
100601,0.30821
100602,0.59176
100603,0.59421
100604,0.69057
100605,0.3678
100606,0.67528
100607,0.69094
100608,0.72725
100609,0.21558
100610,0.01266
100611,0.67457
100612,0.69905
100613,0.27487
100614,0.36175
100615,0.68881
100616,0.17373
100617,0.19249
100618,0.0819
100619,0.13677
100620,0.14349
100621,0.86195
100622,0.06013
100623,0.45627
100624,0.23488
100625,0.09931
100626,0.40868
100627,0.72396
100628,0.61135
100629,0.47973
100630,0.32465
100631,0.63467
100632,0.50016
100633,0.27824
100634,0.82118
100635,0.12726
100636,0.64992
100637,0.70575
100638,0.36005
100639,0.65603
100640,0.68582
100641,0.68079
100642,0.59378
100643,0.75818
100644,0.56879
100645,0.00648
100646,0.67508
100647,0.85961
100648,0.58836
100649,0.05566
100650,0.18336
100651,0.15329
100652,0.7665
100653,0.5706
100654,0.55001
100655,0.87074
100656,0.07814
100657,0.54951
100658,0.72833
100659,0.68203
100660,0.85501
100661,0.51427
100662,0.2406
100663,0.19553
100664,0.68913
100665,0.85579
100666,0.04721
100667,0.76581
100668,0.45099
100669,0.88702
100670,0.49424
100671,0.09787
100672,0.68692
100673,0.8186
100674,0.58844
100675,0.08895
100676,0.21167
100677,0.61531
100678,0.78488
100679,0.2865
100680,0.61813
100681,0.3259
100682,0.10843
100683,0.14817
100684,0.30999
100685,0.38797
100686,0.79815
100687,0.65181
100688,0.58468
100689,0.6244
100690,0.71717
100691,0.61021
100692,0.04994
100693,0.67709
100694,0.4678
100695,0.7871
100696,0.74599
100697,0.66043
100698,0.5386
100699,0.70111
100700,0.61287
100701,0.58556
100702,0.80108
100703,0.68388
100704,0.77312
100705,0.68616
100706,0.67365
100707,0.63155
100708,0.30892
100709,0.27298
100710,0.98273
100711,0.66037
100712,0.81046
100713,0.79646
100714,0.62148
100715,0.63315
100716,0.08955
100717,0.45116
100718,0.27549
100719,0.07325
100720,0.62602
100721,0.67935
100722,0.71517
100723,0.68384
100724,0.33704
100725,0.47187
100726,0.21505
100727,0.69073
100728,0.84975
100729,0.38257
100730,0.51141
100731,0.68242
100732,0.4905
100733,0.63978
100734,0.60068
100735,0.0789
100736,0.69755
100737,0.31923
100738,0.65533
100739,0.53471
100740,0.6497
100741,0.65426
100742,0.08028
100743,0.662
100744,0.63887
100745,0.71151
100746,0.66084
100747,0.27239
100748,0.84201
100749,0.28715
100750,0.50798
100751,0.44824
100752,0.13003
100753,0.36755
100754,0.60811
100755,0.68384
100756,0.68873
100757,0.72666
100758,0.07432
100759,0.47459
100760,0.62341
100761,0.59976
100762,0.6853
100763,0.04755
100764,0.30859
100765,0.65591
100766,0.31617
100767,0.59337
100768,0.64038
100769,0.5468
100770,0.32261
100771,0.91165
100772,0.70846
100773,0.58507
100774,0.64521
100775,0.60377
100776,0.72557
100777,0.08006
100778,0.62632
100779,0.71437
100780,0.72283
100781,0.38552
100782,0.29363
100783,0.69904
100784,0.6714
100785,0.78384
100786,0.23951
100787,0.63494
100788,0.43212
100789,0.15279
100790,0.04171
100791,0.85502
100792,0.56498
100793,0.84677
100794,0.23068
100795,0.42339
100796,0.40687
100797,0.55117
100798,0.79283
100799,0.05627
100800,0.75666
100801,0.69584
100802,0.53053
100803,0.663
100804,0.01413
100805,0.72171
100806,0.70203
100807,0.70885
100808,0.66941
100809,0.84372
100810,0.11153
100811,0.09525
100812,0.30649
100813,0.82916
100814,0.22984
100815,0.70355
100816,0.75412
100817,0.64897
100818,0.76482
100819,0.67494
100820,0.66182
100821,0.53272
100822,0.6866
100823,0.77462
100824,0.78131
100825,0.71997
100826,0.01381
100827,0.98551
100828,0.64931
100829,0.45455
100830,0.05392
100831,0.46486
100832,0.67598
100833,0.66836
100834,0.633
100835,0.50124
100836,0.82542
100837,0.74038
100838,0.88008
100839,0.58485
100840,0.67486
100841,0.79903
100842,0.56414
100843,0.90817
100844,0.77875
100845,0.81227
100846,0.70916
100847,0.72443
100848,0.59166
100849,0.13699
100850,0.84014
100851,0.9626
100852,0.64787
100853,0.68071
100854,0.86493
100855,0.57806
100856,0.66679
100857,0.82946
100858,0.78712
100859,0.03168
100860,0.28698
100861,0.16455
100862,0.62782
100863,0.58246
100864,0.65372
100865,0.41854
100866,0.72605
100867,0.0717
100868,0.49668
100869,0.03553
100870,0.95929
100871,0.09233
100872,0.21259
100873,0.63526
100874,0.53324
100875,0.25905
100876,0.6184
100877,0.4434
100878,0.75327
100879,0.50487
100880,0.0535
100881,0.54264
100882,0.56422
100883,0.52468
100884,0.80109
100885,0.62473
100886,0.65864
100887,0.46331
100888,0.73813
100889,0.54588
100890,0.69845
100891,0.61915
100892,0.73484
100893,0.72558
100894,0.6144
100895,0.7966
100896,0.76507
100897,0.70593
100898,0.43607
100899,0.58217
100900,0.81382
100901,0.2827
100902,0.72163
100903,0.69226
100904,0.75425
100905,0.65504
100906,0.38827
100907,0.48367
100908,0.66938
100909,0.33683
100910,0.35929
100911,0.10902
100912,0.62752
100913,0.09417
100914,0.19509
100915,0.20428
100916,0.54513
100917,0.47105
100918,0.65904
100919,0.87009
100920,0.61819
100921,0.88331
100922,0.05494
100923,0.86233
100924,0.532
100925,0.04256
100926,0.94148
100927,0.44507
100928,0.65399
100929,0.76819
100930,0.60228
100931,0.87042
100932,0.77444
100933,0.54725
100934,0.03076
100935,0.86704
100936,0.03852
100937,0.64346
100938,0.68168
100939,0.00915
100940,0.76803
100941,0.59822
100942,0.35729
100943,0.76301
100944,0.76328
100945,0.48393
100946,0.06718
100947,0.80158
100948,0.55567
100949,0.80294
100950,0.50706
100951,0.53108
100952,0.64173
100953,0.64282
100954,0.7102
100955,0.65282
100956,0.51704
100957,0.69463
100958,0.5039
100959,0.32523
100960,0.09514
100961,0.34611
100962,0.73163
100963,0.27339
100964,0.5049
100965,0.40863
100966,0.07041
100967,0.23962
100968,0.68242
100969,0.71768
100970,0.44647
100971,0.21228
100972,0.91053
100973,0.56858
100974,0.6253
100975,0.73514
100976,0.44781
100977,0.5466
100978,0.65267
100979,0.8432
100980,0.17046
100981,0.89135
100982,0.7245
100983,0.79212
100984,0.59945
100985,0.49586
100986,0.83551
100987,0.57493
100988,0.78289
100989,0.01823
100990,0.81792
100991,0.57426
100992,0.68279
100993,0.67792
100994,0.3958
100995,0.86738
100996,0.3529
100997,0.76173
100998,0.1334
100999,0.37032
101000,0.0757
101001,0.69915
101002,0.57151
101003,0.40334
101004,0.95647
101005,0.90662
101006,0.79427
101007,0.14505
101008,0.70199
101009,0.43019
101010,0.83416
101011,0.70312
101012,0.60792
101013,0.04693
101014,0.6339
101015,0.60413
101016,0.66395
101017,0.63805
101018,0.63537
101019,0.04673
101020,0.67867
101021,0.63713
101022,0.90147
101023,0.714
101024,0.50737
101025,0.75938
101026,0.81465
101027,0.50357
101028,0.56173
101029,0.43577
101030,0.75703
101031,0.46326
101032,0.12791
101033,0.52511
101034,0.7557
101035,0.18216
101036,0.70319
101037,0.39356
101038,0.80247
101039,0.70992
101040,0.66413
101041,0.57015
101042,0.733
101043,0.7135
101044,0.19757
101045,0.01971
101046,0.12768
101047,0.71923
101048,0.05785
101049,0.86683
101050,0.72431
101051,0.25125
101052,0.37221
101053,0.6772
101054,0.2292
101055,0.86357
101056,0.49782
101057,0.55014
101058,0.71123
101059,0.86443
101060,0.81011
101061,0.38042
101062,0.72568
101063,0.65602
101064,0.14495
101065,0.67822
101066,0.76754
101067,0.64932
101068,0.12895
101069,0.66202
101070,0.56044
101071,0.60006
101072,0.26749
101073,0.70164
101074,0.76385
101075,0.73621
101076,0.51505
101077,0.59434
101078,0.62015
101079,0.45373
101080,0.46278
101081,0.00134
101082,0.03615
101083,0.59926
101084,0.83823
101085,0.53226
101086,0.09397
101087,0.5434
101088,0.79314
101089,0.58659
101090,0.4842
101091,0.94906
101092,0.32341
101093,0.55421
101094,0.76446
101095,0.73838
101096,0.30944
101097,0.11544
101098,0.81856
101099,0.7647
101100,0.36393
101101,0.67772
101102,0.71823
101103,0.61852
101104,0.5023
101105,0.77654
101106,0.48757
101107,0.63785
101108,0.43712
101109,0.64064
101110,0.73933
101111,0.63761
101112,0.08017
101113,0.7601
101114,0.80878
101115,0.79783
101116,0.11012
101117,0.78141
101118,0.66831
101119,0.70846
101120,0.66502
101121,0.59142
101122,0.6746
101123,0.71172
101124,0.79472
101125,0.84591
101126,0.70782
101127,0.06098
101128,0.48282
101129,0.81196
101130,0.73439
101131,0.65325
101132,0.03306
101133,0.71837
101134,0.72658
101135,0.70811
101136,0.21132
101137,0.59851
101138,0.45247
101139,0.70779
101140,0.30108
101141,0.89101
101142,0.91261
101143,0.57099
101144,0.68917
101145,0.52849
101146,0.79139
101147,0.87107
101148,0.21355
101149,0.14751
101150,0.34567
101151,0.58511
101152,0.05582
101153,0.09177
101154,0.71137
101155,0.70788
101156,0.47588
101157,0.45832
101158,0.74364
101159,0.09471
101160,0.824
101161,0.52276
101162,0.68091
101163,0.68853
101164,0.36725
101165,0.275
101166,0.04438
101167,0.27479
101168,0.03896
101169,0.34813
101170,0.66812
101171,0.42663
101172,0.27086
101173,0.71307
101174,0.11872
101175,0.38389
101176,0.66077
101177,0.84966
101178,0.95183
101179,0.60987
101180,0.51941
101181,0.2878
101182,0.51577
101183,0.69921
101184,0.8709
101185,0.26149
101186,0.05554
101187,0.60323
101188,0.25011
101189,0.6404
101190,0.70136
101191,0.70805
101192,0.55268
101193,0.32353
101194,0.83689
101195,0.68972
101196,0.74874
101197,0.56985
101198,0.87893
101199,0.40081
101200,0.3387
101201,0.72107
101202,0.4191
101203,0.70389
101204,0.65785
101205,0.53472
101206,0.0016
101207,0.94138
101208,0.19735
101209,0.57191
101210,0.5677
101211,0.81696
101212,0.41347
101213,0.48532
101214,0.71117
101215,0.56258
101216,0.72018
101217,0.69601
101218,0.11317
101219,0.49181
101220,0.7533
101221,0.68003
101222,0.69882
101223,0.71931
101224,0.67655
101225,0.66557
101226,0.54129
101227,0.05168
101228,0.70512
101229,0.54713
101230,0.89639
101231,0.60407
101232,0.25999
101233,0.68009
101234,0.59197
101235,0.42639
101236,0.53475
101237,0.62392
101238,0.53809
101239,0.72114
101240,0.81583
101241,0.71226
101242,0.90378
101243,0.517
101244,0.06189
101245,0.10926
101246,0.5524
101247,0.21003
101248,0.63167
101249,0.52833
101250,0.73826
101251,0.42915
101252,0.36729
101253,0.66952
101254,0.65805
101255,0.83016
101256,0.72133
101257,0.8695
101258,0.67289
101259,0.01018
101260,0.70331
101261,0.76161
101262,0.32005
101263,0.58118
101264,0.49354
101265,0.46908
101266,0.80102
101267,0.56721
101268,0.59526
101269,0.90114
101270,0.07056
101271,0.609
101272,0.4806
101273,0.68876
101274,0.64092
101275,0.53651
101276,0.5741
101277,0.1089
101278,0.30667
101279,0.51725
101280,0.82002
101281,0.62295
101282,0.88884
101283,0.66098
101284,0.63129
101285,0.50078
101286,0.57641
101287,0.69541
101288,0.16927
101289,0.64418
101290,0.82099
101291,0.07691
101292,0.30378
101293,0.7337
101294,0.82098
101295,0.53515
101296,0.56004
101297,0.43929
101298,0.25446
101299,0.70891
101300,0.60625
101301,0.49723
101302,0.6704
101303,0.03749
101304,0.79865
101305,0.7304
101306,0.87551
101307,0.75843
101308,0.1949
101309,0.72454
101310,0.7812
101311,0.33781
101312,0.66333
101313,0.84882
101314,0.69156
101315,0.22534
101316,0.32908
101317,0.76904
101318,0.69989
101319,0.56109
101320,0.41392
101321,0.72983
101322,0.14033
101323,0.36607
101324,0.7674
101325,0.76522
101326,0.46332
101327,0.35238
101328,0.31837
101329,0.90678
101330,0.72304
101331,0.47581
101332,0.54976
101333,0.03769
101334,0.51943
101335,0.90425
101336,0.73544
101337,0.04294
101338,0.33808
101339,0.05047
101340,0.18145
101341,0.73123
101342,0.67179
101343,0.37187
101344,0.76429
101345,0.80856
101346,0.51932
101347,0.72927
101348,0.50818
101349,0.775
101350,0.07993
101351,0.72869
101352,0.63732
101353,0.72631
101354,0.94527
101355,0.4377
101356,0.76451
101357,0.68029
101358,0.70152
101359,0.67718
101360,0.73636
101361,0.0732
101362,0.70336
101363,0.80484
101364,0.13621
101365,0.30471
101366,0.04934
101367,0.80986
101368,0.44356
101369,0.14573
101370,0.83558
101371,0.72375
101372,0.38927
101373,0.5799
101374,0.98289
101375,0.10268
101376,0.62666
101377,0.33506
101378,0.05091
101379,0.55273
101380,0.7837
101381,0.40838
101382,0.55521
101383,0.43171
101384,0.28006
101385,0.16354
101386,0.37222
101387,0.65449
101388,0.1734
101389,0.59752
101390,0.67434
101391,0.70045
101392,0.82418
101393,0.60514
101394,0.77426
101395,0.05621
101396,0.66804
101397,0.62459
101398,0.74661
101399,0.44647
101400,0.6741
101401,0.59675
101402,0.15688
101403,0.79293
101404,0.03706
101405,0.67903
101406,0.5796
101407,0.44385
101408,0.46131
101409,0.47916
101410,0.63453
101411,0.14139
101412,0.47039
101413,0.04772
101414,0.58299
101415,0.46716
101416,0.89845
101417,0.72251
101418,0.6794
101419,0.72014
101420,0.85195
101421,0.70824
101422,0.64057
101423,0.12082
101424,0.64715
101425,0.72312
101426,0.78327
101427,0.66351
101428,0.74074
101429,0.74008
101430,0.63039
101431,0.5259
101432,0.55968
101433,0.92846
101434,0.68633
101435,0.62157
101436,0.6343
101437,0.57213
101438,0.90651
101439,0.78287
101440,0.28995
101441,0.64649
101442,0.22497
101443,0.46427
101444,0.5943
101445,0.54943
101446,0.34129
101447,0.52283
101448,0.76422
101449,0.79729
101450,0.33833
101451,0.01988
101452,0.67153
101453,0.00903
101454,0.36374
101455,0.2268
101456,0.52288
101457,0.72903
101458,0.13397
101459,0.57147
101460,0.61268
101461,0.7349
101462,0.52367
101463,0.50427
101464,0.78418
101465,0.62936
101466,0.49065
101467,0.6933
101468,0.67587
101469,0.31461
101470,0.8456
101471,0.88033
101472,0.38025
101473,0.92681
101474,0.6153
101475,0.00583
101476,0.57568
101477,0.27656
101478,0.41673
101479,0.05622
101480,0.25213
101481,0.82351
101482,0.42869
101483,0.67393
101484,0.54133
101485,0.40591
101486,0.63571
101487,0.73794
101488,0.6602
101489,0.05339
101490,0.66639
101491,0.7376
101492,0.4824
101493,0.31882
101494,0.39289
101495,0.65041
101496,0.59905
101497,0.48978
101498,0.34431
101499,0.07294
101500,0.68597
101501,0.11952
101502,0.33494
101503,0.81794
101504,0.66258
101505,0.73302
101506,0.50729
101507,0.61393
101508,0.39186
101509,0.58619
101510,0.47015
101511,0.49507
101512,0.66088
101513,0.51473
101514,0.7405
101515,0.6548
101516,0.16552
101517,0.10902
101518,0.70316
101519,0.79876
101520,0.59356
101521,0.00321
101522,0.69667
101523,0.31199
101524,0.28178
101525,0.86291
101526,0.47783
101527,0.41748
101528,0.059
101529,0.39162
101530,0.59184
101531,0.67101
101532,0.68455
101533,0.62059
101534,0.81649
101535,0.00429
101536,0.37624
101537,0.39567
101538,0.75989
101539,0.8759
101540,0.51701
101541,0.49417
101542,0.28978
101543,0.5452
101544,0.71088
101545,0.72534
101546,0.7586
101547,0.77529
101548,0.19051
101549,0.20172
101550,0.8022
101551,0.06224
101552,0.022
101553,0.44377
101554,0.73098
101555,0.8716
101556,0.52649
101557,0.05797
101558,0.03857
101559,0.24308
101560,0.39797
101561,0.5945
101562,0.18322
101563,0.09047
101564,0.86562
101565,0.68957
101566,0.788
101567,0.50302
101568,0.07469
101569,0.50638
101570,0.64998
101571,0.43942
101572,0.66688
101573,0.67787
101574,0.92846
101575,0.66683
101576,0.72081
101577,0.86172
101578,0.65421
101579,0.40918
101580,0.18203
101581,0.77181
101582,0.59828
101583,0.22338
101584,0.46281
101585,0.56205
101586,0.78688
101587,0.60064
101588,0.68997
101589,0.0929
101590,0.65618
101591,0.75508
101592,0.6689
101593,0.69497
101594,0.26838
101595,0.11324
101596,0.52629
101597,0.17549
101598,0.72674
101599,0.19888
101600,0.9337
101601,0.53946
101602,0.65573
101603,0.27001
101604,0.07964
101605,0.09809
101606,0.51351
101607,0.64112
101608,0.02105
101609,0.6517
101610,0.18916
101611,0.71248
101612,0.0623
101613,0.69347
101614,0.80071
101615,0.66423
101616,0.29991
101617,0.24137
101618,0.50543
101619,0.3618
101620,0.72137
101621,0.53913
101622,0.30893
101623,0.25239
101624,0.83292
101625,0.89749
101626,0.07401
101627,0.73728
101628,0.62996
101629,0.71538
101630,0.73398
101631,0.42818
101632,0.48071
101633,0.59326
101634,0.79246
101635,0.39662
101636,0.32472
101637,0.63031
101638,0.69728
101639,0.78795
101640,0.71251
101641,0.62914
101642,0.22026
101643,0.23363
101644,0.31904
101645,0.40897
101646,0.63653
101647,0.56834
101648,0.69554
101649,0.59964
101650,0.50426
101651,0.88217
101652,0.53168
101653,0.72585
101654,0.67538
101655,0.7742
101656,0.25489
101657,0.44466
101658,0.67174
101659,0.78991
101660,0.68435
101661,0.65554
101662,0.34218
101663,0.73031
101664,0.59801
101665,0.66792
101666,0.66605
101667,0.38203
101668,0.74709
101669,0.97086
101670,0.5832
101671,0.68968
101672,0.72222
101673,0.82753
101674,0.64549
101675,0.64003
101676,0.18218
101677,0.29
101678,0.63986
101679,0.65876
101680,0.49921
101681,0.36119
101682,0.6557
101683,0.81583
101684,0.14259
101685,0.03225
101686,0.17514
101687,0.32859
101688,0.39548
101689,0.63389
101690,0.70026
101691,0.68476
101692,0.70771
101693,0.75805
101694,0.71739
101695,0.75551
101696,0.69535
101697,0.30478
101698,0.11155
101699,0.79655
101700,0.23353
101701,0.72171
101702,0.55104
101703,0.27442
101704,0.57405
101705,0.73555
101706,0.3167
101707,0.27552
101708,0.6485
101709,0.64864
101710,0.51452
101711,0.4938
101712,0.44085
101713,0.08813
101714,0.77133
101715,0.75676
101716,0.49373
101717,0.62594
101718,0.63283
101719,0.94724
101720,0.74003
101721,0.71684
101722,0.64885
101723,0.3964
101724,0.3175
101725,0.18415
101726,0.65577
101727,0.70929
101728,0.09185
101729,0.30652
101730,0.37245
101731,0.58089
101732,0.94508
101733,0.69605
101734,0.87444
101735,0.68323
101736,0.92255
101737,0.3512
101738,0.72236
101739,0.69963
101740,0.72495
101741,0.77349
101742,0.74902
101743,0.18045
101744,0.47273
101745,0.1705
101746,0.38427
101747,0.48788
101748,0.50647
101749,0.91592
101750,0.65265
